nameyear,Season,Name Season,in_ec,in_fms_fcast,ec_3day_date,ec_3day_trig,ec_5day_date,ec_5day_trig,fms_fcast_date,fms_fcast_trig,fms_actual_date,fms_actual_trig
bola1988,1987/1988,Bola 1987/1988,False,False,,False,,False,,False,,False
bune2011,2010/2011,Bune 2010/2011,True,False,,False,,False,,False,,False
carlotta1972,1971/1972,Carlotta 1971/1972,False,False,,False,,False,,False,,False
charles1978,1977/1978,Charles 1977/1978,False,False,,False,,False,,False,,False
cilla1988,1987/1988,Cilla 1987/1988,False,False,,False,,False,,False,,False
cilla2003,2002/2003,Cilla 2002/2003,False,False,,False,,False,,False,,False
claudia1982,1981/1982,Claudia 1981/1982,False,False,,False,,False,,False,,False
claudia2002,2001/2002,Claudia 2001/2002,False,False,,False,,False,,False,,False
cliff1981,1980/1981,Cliff 1980/1981,False,False,,False,,False,,False,,False
cliff1992,1991/1992,Cliff 1991/1992,False,False,,False,,False,,False,,False
cliff2007,2006/2007,Cliff 2006/2007,True,False,,False,,False,,False,,False
cody2022,2021/2022,Cody 2021/2022,True,False,,False,,False,,False,,False
collette1972,1972/1973,Collette 1972/1973,False,False,,False,,False,,False,,False
cook2017,2016/2017,Cook 2016/2017,True,False,,False,,False,,False,,False
cora1998,1998/1999,Cora 1998/1999,False,False,,False,,False,,False,,False
cyril1984,1983/1984,Cyril 1983/1984,False,False,,False,,False,,False,,False
cyril1996,1996/1997,Cyril 1996/1997,False,False,,False,,False,,False,,False
cyril2012,2011/2012,Cyril 2011/2012,True,False,,False,,False,,False,,False
daman1981,1980/1981,Daman 1980/1981,False,False,,False,,False,,False,,False
daman1992,1991/1992,Daman 1991/1992,False,False,,False,,False,,False,,False
daman2007,2007/2008,Daman 2007/2008,True,False,,False,,False,,False,2007-12-07 14:00:00,True
dani1999,1998/1999,Dani 1998/1999,False,False,,False,,False,,False,,False
daphne2012,2011/2012,Daphne 2011/2012,True,False,,False,,False,,False,,False
david1976,1975/1976,David 1975/1976,False,False,,False,,False,,False,,False
dawn1970,1969/1970,Dawn 1969/1970,False,False,,False,,False,,False,,False
delilah1988,1988/1989,Delilah 1988/1989,False,False,,False,,False,,False,,False
des2002,2001/2002,Des 2001/2002,False,False,,False,,False,,False,,False
diana1972,1972/1973,Diana 1972/1973,False,False,,False,,False,,False,,False
diana1978,1977/1978,Diana 1977/1978,False,False,,False,,False,,False,,False
diola1980,1980/1981,Diola 1980/1981,False,False,,False,,False,,False,,False
dolly1970,1969/1970,Dolly 1969/1970,False,False,,False,,False,,False,,False
donna2017,2016/2017,Donna 2016/2017,True,False,,False,,False,,False,,False
dora1971,1970/1971,Dora 1970/1971,False,False,,False,,False,,False,,False
dovi1988,1987/1988,Dovi 1987/1988,False,False,,False,,False,,False,,False
dovi2003,2002/2003,Dovi 2002/2003,False,False,,False,,False,,False,,False
dovi2022,2021/2022,Dovi 2021/2022,True,False,,False,,False,,False,,False
drena1985,1984/1985,Drena 1984/1985,False,False,,False,,False,,False,,False
drena1997,1996/1997,Drena 1996/1997,False,False,,False,,False,,False,,False
edna2014,2013/2014,Edna 2013/2014,True,False,,False,,False,,False,,False
elenore1973,1972/1973,Elenore 1972/1973,False,False,,False,,False,,False,,False
elisa2008,2007/2008,Elisa 2007/2008,True,False,,False,,False,,False,,False
ella1999,1998/1999,Ella 1998/1999,False,False,,False,,False,,False,,False
ella2017,2016/2017,Ella 2016/2017,True,False,,False,,False,,False,,False
elsa1976,1975/1976,Elsa 1975/1976,False,False,,False,,False,,False,,False
emma1970,1969/1970,Emma 1969/1970,False,False,,False,,False,,False,,False
eric1985,1984/1985,Eric 1984/1985,False,False,,False,,False,,False,1985-01-17 08:00:00,True
erica2003,2002/2003,Erica 2002/2003,False,False,,False,,False,,False,,False
ernie1978,1977/1978,Ernie 1977/1978,False,False,,False,,False,,False,,False
esau1981,1980/1981,Esau 1980/1981,False,False,,False,,False,,False,,False
esau1992,1991/1992,Esau 1991/1992,False,False,,False,,False,,False,,False
eseta1988,1988/1989,Eseta 1988/1989,False,False,,False,,False,,False,,False
eseta2003,2002/2003,Eseta 2002/2003,False,False,,False,,False,,False,2003-03-12 21:00:00,True
evan1997,1996/1997,Evan 1996/1997,False,False,,False,,False,,False,,False
evan2012,2012/2013,Evan 2012/2013,True,True,2012-12-14 12:00:00,True,2012-12-12 12:00:00,True,2012-12-13 06:00:00,True,2012-12-17 05:00:00,True
fay1978,1978/1979,Fay 1978/1979,False,False,,False,,False,,False,,False
fehi2018,2017/2018,Fehi 2017/2018,True,False,,False,,False,,False,,False
felicity1973,1972/1973,Felicity 1972/1973,False,False,,False,,False,,False,,False
felicity1989,1989/1990,Felicity 1989/1990,False,False,,False,,False,,False,,False
fergus1996,1996/1997,Fergus 1996/1997,False,False,,False,,False,,False,,False
fili1989,1988/1989,Fili 1988/1989,False,False,,False,,False,,False,,False
fili2003,2002/2003,Fili 2002/2003,False,False,,False,,False,,False,,False
fili2022,2021/2022,Fili 2021/2022,True,False,,False,,False,,False,,False
fiona1971,1970/1971,Fiona 1970/1971,False,False,,False,,False,,False,,False
flora1975,1974/1975,Flora 1974/1975,False,False,,False,,False,,False,,False
florence1970,1969/1970,Florence 1969/1970,False,False,,False,,False,,False,,False
fran1981,1980/1981,Fran 1980/1981,False,False,,False,,False,,False,,False
fran1992,1991/1992,Fran 1991/1992,False,False,,False,,False,,False,,False
frances1976,1975/1976,Frances 1975/1976,False,False,,False,,False,,False,,False
frank1999,1998/1999,Frank 1998/1999,False,False,,False,,False,,False,,False
freda1981,1980/1981,Freda 1980/1981,False,False,,False,,False,,False,,False
freda1985,1984/1985,Freda 1984/1985,False,False,,False,,False,,False,,False
freda1997,1996/1997,Freda 1996/1997,False,False,,False,,False,,False,,False
freda2012,2012/2013,Freda 2012/2013,True,False,,False,,False,,False,,False
funa2008,2007/2008,Funa 2007/2008,True,False,,False,,False,,False,,False
gabrielle2023,2022/2023,Gabrielle 2022/2023,True,False,,False,,False,,False,,False
gail1972,1971/1972,Gail 1971/1972,False,False,,False,,False,,False,,False
garry2013,2012/2013,Garry 2012/2013,True,False,,False,,False,,False,,False
gavin1985,1984/1985,Gavin 1984/1985,False,False,,False,,False,,False,,False
gavin1997,1996/1997,Gavin 1996/1997,False,False,,False,,False,,False,1997-03-07 03:00:00,True
gene1992,1991/1992,Gene 1991/1992,False,False,,False,,False,,False,,False
gene2008,2007/2008,Gene 2007/2008,True,False,,False,,False,,False,,False
gillian1970,1969/1970,Gillian 1969/1970,False,False,,False,,False,,False,,False
gina1989,1988/1989,Gina 1988/1989,False,False,,False,,False,,False,,False
gina2003,2002/2003,Gina 2002/2003,False,False,,False,,False,,False,,False
gina2022,2021/2022,Gina 2021/2022,True,False,,False,,False,,False,,False
gita1999,1998/1999,Gita 1998/1999,False,False,,False,,False,,False,,False
gita2018,2017/2018,Gita 2017/2018,True,False,2018-02-10 00:00:00,True,2018-02-09 12:00:00,True,,False,2018-02-13 02:00:00,True
glenda1973,1972/1973,Glenda 1972/1973,False,False,,False,,False,,False,,False
gloria1975,1974/1975,Gloria 1974/1975,False,False,,False,,False,,False,,False
gordon1979,1978/1979,Gordon 1978/1979,False,False,,False,,False,,False,,False
grace1984,1983/1984,Grace 1983/1984,False,False,,False,,False,,False,,False
grace2004,2003/2004,Grace 2003/2004,False,False,,False,,False,,False,,False
gretel2020,2019/2020,Gretel 2019/2020,True,False,,False,,False,,False,,False
gwen1978,1977/1978,Gwen 1977/1978,False,False,,False,,False,,False,,False
gyan1981,1981/1982,Gyan 1981/1982,False,False,,False,,False,,False,,False
hal1978,1977/1978,Hal 1977/1978,False,False,,False,,False,,False,,False
hale2023,2022/2023,Hale 2022/2023,True,False,,False,,False,,False,,False
haley2013,2012/2013,Haley 2012/2013,True,False,,False,,False,,False,,False
hali1999,1998/1999,Hali 1998/1999,False,False,,False,,False,,False,,False
harold1997,1996/1997,Harold 1996/1997,False,False,,False,,False,,False,,False
harold2020,2019/2020,Harold 2019/2020,True,True,2020-04-05 12:00:00,True,2020-04-04 00:00:00,True,2020-04-06 00:00:00,True,2020-04-08 01:00:00,True
harry1989,1988/1989,Harry 1988/1989,False,False,,False,,False,,False,,False
harvey1984,1983/1984,Harvey 1983/1984,False,False,,False,,False,,False,,False
helen1970,1969/1970,Helen 1969/1970,False,False,,False,,False,,False,,False
henrietta1973,1972/1973,Henrietta 1972/1973,False,False,,False,,False,,False,,False
henry1979,1978/1979,Henry 1978/1979,False,False,,False,,False,,False,,False
heta2003,2003/2004,Heta 2003/2004,False,False,,False,,False,,False,,False
hettie1982,1981/1982,Hettie 1981/1982,False,False,,False,,False,,False,,False
hettie1992,1991/1992,Hettie 1991/1992,False,False,,False,,False,,False,,False
hettie2009,2008/2009,Hettie 2008/2009,True,False,,False,,False,,False,,False
hilda1990,1989/1990,Hilda 1989/1990,False,False,,False,,False,,False,,False
hina1985,1984/1985,Hina 1984/1985,False,False,,False,,False,,False,1985-03-17 00:00:00,True
hina1997,1996/1997,Hina 1996/1997,False,False,,False,,False,,False,,False
hola2018,2017/2018,Hola 2017/2018,True,False,,False,,False,,False,,False
hope1976,1975/1976,Hope 1975/1976,False,False,,False,,False,,False,,False
ian1997,1996/1997,Ian 1996/1997,False,False,,False,,False,,False,,False
ian2014,2013/2014,Ian 2013/2014,True,False,,False,,False,,False,,False
ida1971,1970/1971,Ida 1970/1971,False,False,,False,,False,,False,,False
ida1972,1971/1972,Ida 1971/1972,False,False,,False,,False,,False,,False
ima1986,1985/1986,Ima 1985/1986,False,False,,False,,False,,False,,False
ingrid1984,1983/1984,Ingrid 1983/1984,False,False,,False,,False,,False,,False
innis1992,1991/1992,Innis 1991/1992,False,False,,False,,False,,False,,False
innis2009,2008/2009,Innis 2008/2009,True,False,,False,,False,,False,,False
irene2023,2022/2023,Irene 2022/2023,False,False,,False,,False,,False,,False
iris2000,1999/2000,Iris 1999/2000,False,False,,False,,False,,False,,False
isa1970,1969/1970,Isa 1969/1970,False,False,,False,,False,,False,,False
isaac1982,1981/1982,Isaac 1981/1982,False,False,,False,,False,,False,,False
ivy1989,1988/1989,Ivy 1988/1989,False,False,,False,,False,,False,,False
ivy2004,2003/2004,Ivy 2003/2004,False,False,,False,,False,,False,,False
jan1976,1975/1976,Jan 1975/1976,False,False,,False,,False,,False,,False
jasmine2012,2011/2012,Jasmine 2011/2012,True,False,,False,,False,,False,,False
jasper2009,2008/2009,Jasper 2008/2009,True,False,,False,,False,,False,,False
jim2006,2005/2006,Jim 2005/2006,False,False,,False,,False,,False,,False
jo2000,1999/2000,Jo 1999/2000,False,False,,False,,False,,False,,False
joni1992,1992/1993,Joni 1992/1993,False,False,,False,,False,,False,1992-12-11 01:00:00,True
joni2009,2008/2009,Joni 2008/2009,True,False,,False,,False,,False,,False
josie2018,2017/2018,Josie 2017/2018,True,False,,False,,False,,False,,False
joti1982,1982/1983,Joti 1982/1983,False,False,,False,,False,,False,,False
joy1990,1990/1991,Joy 1990/1991,False,False,,False,,False,,False,,False
judy1989,1988/1989,Judy 1988/1989,False,False,,False,,False,,False,,False
judy2004,2004/2005,Judy 2004/2005,False,False,,False,,False,,False,,False
judy2023,2022/2023,Judy 2022/2023,True,False,,False,,False,,False,,False
juliette1973,1972/1973,Juliette 1972/1973,False,False,,False,,False,,False,,False
jun-1977,1976/1977,Jun- 1976/1977,False,False,,False,,False,,False,,False
jun-1986,1985/1986,Jun- 1985/1986,False,False,,False,,False,,False,,False
jun-1997,1996/1997,Jun- 1996/1997,False,False,,False,,False,,False,,False
jun-2014,2013/2014,Jun- 2013/2014,False,False,,False,,False,,False,,False
katrina1998,1997/1998,Katrina 1997/1998,False,False,,False,,False,,False,,False
keli1986,1985/1986,Keli 1985/1986,False,False,,False,,False,,False,,False
keli1997,1996/1997,Keli 1996/1997,False,False,,False,,False,,False,,False
ken2009,2008/2009,Ken 2008/2009,True,False,,False,,False,,False,,False
keni2018,2017/2018,Keni 2017/2018,True,False,2018-04-09 00:00:00,True,2018-04-09 00:00:00,True,,False,,False
kerry1979,1978/1979,Kerry 1978/1979,False,False,,False,,False,,False,,False
kerry1989,1988/1989,Kerry 1988/1989,False,False,,False,,False,,False,,False
kerry2005,2004/2005,Kerry 2004/2005,False,False,,False,,False,,False,,False
kevin2023,2022/2023,Kevin 2022/2023,True,False,,False,,False,,False,,False
kim1976,1976/1977,Kim 1976/1977,False,False,,False,,False,,False,,False
kim2000,1999/2000,Kim 1999/2000,False,False,,False,,False,,False,,False
kina1982,1982/1983,Kina 1982/1983,False,False,,False,,False,,False,,False
kofi2014,2013/2014,Kofi 2013/2014,True,False,,False,,False,,False,,False
laurie1976,1976/1977,Laurie 1976/1977,False,False,,False,,False,,False,,False
lena1971,1970/1971,Lena 1970/1971,False,False,,False,,False,,False,,False
leo2000,1999/2000,Leo 1999/2000,False,False,,False,,False,,False,,False
leslie1979,1978/1979,Leslie 1978/1979,False,False,,False,,False,,False,,False
lili1989,1988/1989,Lili 1988/1989,False,False,,False,,False,,False,,False
lin2009,2008/2009,Lin 2008/2009,False,False,,False,,False,,False,,False
lisa1982,1982/1983,Lisa 1982/1983,False,False,,False,,False,,False,,False
lisa1991,1990/1991,Lisa 1990/1991,False,False,,False,,False,,False,,False
liua2018,2018/2019,Liua 2018/2019,True,False,,False,,False,,False,,False
lola2005,2004/2005,Lola 2004/2005,False,False,,False,,False,,False,,False
lucas2021,2020/2021,Lucas 2020/2021,True,False,,False,,False,,False,,False
lusi1986,1985/1986,Lusi 1985/1986,False,False,,False,,False,,False,,False
lusi1997,1997/1998,Lusi 1997/1998,False,False,,False,,False,,False,,False
lusi2014,2013/2014,Lusi 2013/2014,True,False,,False,,False,,False,,False
marion1977,1976/1977,Marion 1976/1977,False,False,,False,,False,,False,,False
mark1983,1982/1983,Mark 1982/1983,False,False,,False,,False,,False,,False
martin1986,1985/1986,Martin 1985/1986,False,False,,False,,False,,False,,False
martin1997,1997/1998,Martin 1997/1998,False,False,,False,,False,,False,,False
meena1989,1988/1989,Meena 1988/1989,False,False,,False,,False,,False,,False
meena2005,2004/2005,Meena 2004/2005,False,False,,False,,False,,False,,False
meli1979,1978/1979,Meli 1978/1979,False,False,,False,,False,,False,,False
mick2009,2009/2010,Mick 2009/2010,True,False,,False,,False,,False,,False
mike2014,2013/2014,Mike 2013/2014,True,False,,False,,False,,False,,False
miles1977,1976/1977,Miles 1976/1977,False,False,,False,,False,,False,,False
mona2000,1999/2000,Mona 1999/2000,False,False,,False,,False,,False,,False
mona2019,2018/2019,Mona 2018/2019,True,False,,False,,False,,False,,False
monica1974,1973/1974,Monica 1973/1974,False,False,,False,,False,,False,,False
monica1984,1984/1985,Monica 1984/1985,False,False,,False,,False,,False,,False
namu1986,1985/1986,Namu 1985/1986,False,False,,False,,False,,False,,False
nancy1990,1989/1990,Nancy 1989/1990,False,False,,False,,False,,False,,False
nancy2005,2004/2005,Nancy 2004/2005,False,False,,False,,False,,False,,False
nano1983,1982/1983,Nano 1982/1983,False,False,,False,,False,,False,,False
neil2000,1999/2000,Neil 1999/2000,False,False,,False,,False,,False,,False
neil2019,2018/2019,Neil 2018/2019,False,False,,False,,False,,False,,False
nessie1974,1973/1974,Nessie 1973/1974,False,False,,False,,False,,False,,False
nigel1985,1984/1985,Nigel 1984/1985,False,False,,False,,False,,False,,False
niko2015,2014/2015,Niko 2014/2015,True,False,,False,,False,,False,,False
nina1992,1992/1993,Nina 1992/1993,False,False,,False,,False,,False,,False
niran2021,2020/2021,Niran 2020/2021,True,False,,False,,False,,False,,False
nisha1983,1982/1983,Nisha 1982/1983,False,False,,False,,False,,False,,False
nisha2010,2009/2010,Nisha 2009/2010,True,False,,False,,False,,False,,False
norman1977,1976/1977,Norman 1976/1977,False,False,,False,,False,,False,,False
nute1997,1997/1998,Nute 1997/1998,False,False,,False,,False,,False,,False
odette1985,1984/1985,Odette 1984/1985,False,False,,False,,False,,False,,False
ofa1979,1979/1980,Ofa 1979/1980,False,False,,False,,False,,False,,False
ofa1990,1989/1990,Ofa 1989/1990,False,False,,False,,False,,False,,False
ola2015,2014/2015,Ola 2014/2015,True,False,,False,,False,,False,,False
olaf2005,2004/2005,Olaf 2004/2005,False,False,,False,,False,,False,,False
oli2010,2009/2010,Oli 2009/2010,True,False,,False,,False,,False,,False
olinda1999,1998/1999,Olinda 1998/1999,False,False,,False,,False,,False,,False
oma2001,2000/2001,Oma 2000/2001,False,False,,False,,False,,False,,False
oma2019,2018/2019,Oma 2018/2019,True,False,,False,,False,,False,,False
oscar1983,1982/1983,Oscar 1982/1983,False,False,,False,,False,,False,1983-03-01 20:00:00,True
osea1986,1986/1987,Osea 1986/1987,False,False,,False,,False,,False,,False
osea1997,1997/1998,Osea 1997/1998,False,False,,False,,False,,False,,False
p1997,1996/1997,P 1996/1997,False,False,,False,,False,,False,,False
pam1974,1973/1974,Pam 1973/1974,False,False,,False,,False,,False,,False
pam1997,1997/1998,Pam 1997/1998,False,False,,False,,False,,False,,False
pam2015,2014/2015,Pam 2014/2015,True,False,,False,,False,,False,,False
pat1977,1976/1977,Pat 1976/1977,False,False,,False,,False,,False,,False
pat2010,2009/2010,Pat 2009/2010,True,False,,False,,False,,False,,False
patsy1986,1986/1987,Patsy 1986/1987,False,False,,False,,False,,False,,False
paula2001,2000/2001,Paula 2000/2001,False,False,,False,,False,,False,2001-03-02 05:00:00,True
peni1980,1979/1980,Peni 1979/1980,False,False,,False,,False,,False,,False
peni1990,1989/1990,Peni 1989/1990,False,False,,False,,False,,False,,False
percy2005,2004/2005,Percy 2004/2005,False,False,,False,,False,,False,,False
pete1999,1998/1999,Pete 1998/1999,False,False,,False,,False,,False,,False
pola2019,2018/2019,Pola 2018/2019,True,False,2019-02-26 12:00:00,True,2019-02-26 12:00:00,True,,False,2019-02-27 09:00:00,True
polly1993,1992/1993,Polly 1992/1993,False,False,,False,,False,,False,,False
prema1983,1982/1983,Prema 1982/1983,False,False,,False,,False,,False,,False
priscilla1970,1970/1971,Priscilla 1970/1971,False,False,,False,,False,,False,,False
rae1980,1979/1980,Rae 1979/1980,False,False,,False,,False,,False,,False
rae1990,1989/1990,Rae 1989/1990,False,False,,False,,False,,False,,False
rae2005,2004/2005,Rae 2004/2005,False,False,,False,,False,,False,,False
raja1986,1986/1987,Raja 1986/1987,False,False,,False,,False,,False,1986-12-30 05:00:00,True
rene2010,2009/2010,Rene 2009/2010,True,False,,False,,False,,False,,False
reuben2015,2014/2015,Reuben 2014/2015,True,False,,False,,False,,False,,False
rewa1983,1982/1983,Rewa 1982/1983,False,False,,False,,False,,False,,False
rewa1993,1993/1994,Rewa 1993/1994,False,False,,False,,False,,False,,False
rita2001,2000/2001,Rita 2000/2001,False,False,,False,,False,,False,,False
rita2019,2019/2020,Rita 2019/2020,True,False,,False,,False,,False,,False
robert1977,1976/1977,Robert 1976/1977,False,False,,False,,False,,False,,False
roger1993,1992/1993,Roger 1992/1993,False,False,,False,,False,,False,,False
ron1998,1997/1998,Ron 1997/1998,False,False,,False,,False,,False,,False
rosa1979,1978/1979,Rosa 1978/1979,False,False,,False,,False,,False,,False
rosie1970,1970/1971,Rosie 1970/1971,False,False,,False,,False,,False,,False
ruby2021,2021/2022,Ruby 2021/2022,True,False,,False,,False,,False,,False
ruth1980,1979/1980,Ruth 1979/1980,False,False,,False,,False,,False,,False
saba1983,1982/1983,Saba 1982/1983,False,False,,False,,False,,False,,False
sally1986,1986/1987,Sally 1986/1987,False,False,,False,,False,,False,,False
sandra2013,2012/2013,Sandra 2012/2013,True,False,,False,,False,,False,,False
sarah1983,1982/1983,Sarah 1982/1983,False,False,,False,,False,,False,1983-03-24 00:00:00,True
sarah1994,1993/1994,Sarah 1993/1994,False,False,,False,,False,,False,,False
sarah2010,2009/2010,Sarah 2009/2010,True,False,,False,,False,,False,,False
sarai2019,2019/2020,Sarai 2019/2020,True,False,,False,,False,,False,,False
sheila2005,2004/2005,Sheila 2004/2005,False,False,,False,,False,,False,,False
sina1980,1979/1980,Sina 1979/1980,False,False,,False,,False,,False,,False
sina1990,1990/1991,Sina 1990/1991,False,False,,False,,False,,False,,False
solo2015,2014/2015,Solo 2014/2015,True,False,,False,,False,,False,,False
sose2001,2000/2001,Sose 2000/2001,False,False,,False,,False,,False,,False
steve1977,1977/1978,Steve 1977/1978,False,False,,False,,False,,False,,False
susan1998,1997/1998,Susan 1997/1998,False,False,,False,,False,,False,,False
tahmar1981,1980/1981,Tahmar 1980/1981,False,False,,False,,False,,False,,False
tam2006,2005/2006,Tam 2005/2006,False,False,,False,,False,,False,,False
tessa1977,1977/1978,Tessa 1977/1978,False,False,,False,,False,,False,,False
theodore1994,1993/1994,Theodore 1993/1994,False,False,,False,,False,,False,,False
tia1980,1979/1980,Tia 1979/1980,False,False,,False,,False,,False,,False
tia1991,1991/1992,Tia 1991/1992,False,False,,False,,False,,False,,False
tina1974,1973/1974,Tina 1973/1974,False,False,,False,,False,,False,,False
tino2020,2019/2020,Tino 2019/2020,True,False,,False,,False,,False,,False
tom1977,1977/1978,Tom 1977/1978,False,False,,False,,False,,False,,False
tomas1994,1993/1994,Tomas 1993/1994,False,False,,False,,False,,False,,False
tomas2010,2009/2010,Tomas 2009/2010,True,False,2010-03-12 12:00:00,True,2010-03-12 12:00:00,True,,False,2010-03-15 16:00:00,True
tomasi1983,1982/1983,Tomasi 1982/1983,False,False,,False,,False,,False,,False
trina2001,2001/2002,Trina 2001/2002,False,False,,False,,False,,False,,False
tui1998,1997/1998,Tui 1997/1998,False,False,,False,,False,,False,,False
tuni2015,2015/2016,Tuni 2015/2016,True,False,,False,,False,,False,,False
tusi1987,1986/1987,Tusi 1986/1987,False,False,,False,,False,,False,,False
uesi2020,2019/2020,Uesi 2019/2020,True,False,,False,,False,,False,,False
ula2015,2015/2016,Ula 2015/2016,True,False,,False,,False,,False,,False
ului2010,2009/2010,Ului 2009/2010,True,False,,False,,False,,False,,False
uma1987,1986/1987,Uma 1986/1987,False,False,,False,,False,,False,,False
unnamed cyclone f2021,2020/2021,Unnamed cyclone f 2020/2021,False,False,,False,,False,,False,,False
unnamed- dec1984,1984/1985,Unnamed- dec 1984/1985,False,False,,False,,False,,False,,False
unnamed- feb1984,1983/1984,Unnamed- feb 1983/1984,False,False,,False,,False,,False,,False
unnamed-1981,1980/1981,Unnamed- 1980/1981,False,False,,False,,False,,False,,False
unnamed-1984,1983/1984,Unnamed- 1983/1984,False,False,,False,,False,,False,,False
unnamed-1989,1988/1989,Unnamed- 1988/1989,False,False,,False,,False,,False,,False
unnamed-1999,1998/1999,Unnamed- 1998/1999,False,False,,False,,False,,False,,False
unnamed-p1987,1986/1987,Unnamed-p 1986/1987,False,False,,False,,False,,False,,False
unnamed-sp1971,1971/1972,Unnamed-sp 1971/1972,False,False,,False,,False,,False,,False
unnamed-sp1973,1973/1974,Unnamed-sp 1973/1974,False,False,,False,,False,,False,,False
unnamed-sp1977,1976/1977,Unnamed-sp 1976/1977,False,False,,False,,False,,False,,False
unnamed-sp1981,1980/1981,Unnamed-sp 1980/1981,False,False,,False,,False,,False,,False
urmil2006,2005/2006,Urmil 2005/2006,False,False,,False,,False,,False,,False
ursula1971,1971/1972,Ursula 1971/1972,False,False,,False,,False,,False,,False
ursula1998,1997/1998,Ursula 1997/1998,False,False,,False,,False,,False,,False
usha1994,1993/1994,Usha 1993/1994,False,False,,False,,False,,False,,False
vaianu2006,2005/2006,Vaianu 2005/2006,False,False,,False,,False,,False,,False
val1975,1974/1975,Val 1974/1975,False,False,,False,,False,,False,1975-02-01 01:00:00,True
val1980,1979/1980,Val 1979/1980,False,False,,False,,False,,False,,False
val1991,1991/1992,Val 1991/1992,False,False,,False,,False,,False,,False
vania1994,1994/1995,Vania 1994/1995,False,False,,False,,False,,False,,False
vania2011,2010/2011,Vania 2010/2011,True,False,,False,,False,,False,,False
veena1983,1982/1983,Veena 1982/1983,False,False,,False,,False,,False,,False
veli1987,1986/1987,Veli 1986/1987,False,False,,False,,False,,False,,False
veli1998,1997/1998,Veli 1997/1998,False,False,,False,,False,,False,,False
vera1974,1973/1974,Vera 1973/1974,False,False,,False,,False,,False,,False
vernon1986,1985/1986,Vernon 1985/1986,False,False,,False,,False,,False,,False
vicky2001,2001/2002,Vicky 2001/2002,False,False,,False,,False,,False,,False
vicky2020,2019/2020,Vicky 2019/2020,True,False,,False,,False,,False,,False
victor2016,2015/2016,Victor 2015/2016,True,False,,False,,False,,False,,False
vivienne1971,1971/1972,Vivienne 1971/1972,False,False,,False,,False,,False,,False
waka2001,2001/2002,Waka 2001/2002,False,False,,False,,False,,False,,False
wally1980,1979/1980,Wally 1979/1980,False,False,,False,,False,,False,,False
wasa1991,1991/1992,Wasa 1991/1992,False,False,,False,,False,,False,,False
wasi2020,2019/2020,Wasi 2019/2020,True,False,,False,,False,,False,,False
