nameyear,Season,Name Season,in_ec,in_fms_fcast,ec_3day_date,ec_3day_trig,ec_5day_date,ec_5day_trig,fms_fcast_date,fms_fcast_trig,fms_actual_date,fms_actual_trig
abigail1982,1981/1982,Abigail 1981/1982,False,False,,False,,False,,False,,False
ada1970,1969/1970,Ada 1969/1970,False,False,,False,,False,,False,,False
agatha1972,1971/1972,Agatha 1971/1972,False,False,,False,,False,,False,,False
agi1988,1987/1988,Agi 1987/1988,False,False,,False,,False,,False,,False
alan1976,1975/1976,Alan 1975/1976,False,False,,False,,False,,False,,False
alan1998,1997/1998,Alan 1997/1998,False,False,,False,,False,,False,,False
alfred1986,1985/1986,Alfred 1985/1986,False,False,,False,,False,,False,,False
alison1975,1974/1975,Alison 1974/1975,False,False,,False,,False,,False,,False
ami2003,2002/2003,Ami 2002/2003,False,False,,False,,False,,False,,False
amos2016,2015/2016,Amos 2015/2016,True,False,,False,,False,,False,,False
ana2021,2020/2021,Ana 2020/2021,True,False,,False,,False,,False,,False
anne1977,1977/1978,Anne 1977/1978,False,False,,False,,False,,False,,False
anne1988,1987/1988,Anne 1987/1988,False,False,,False,,False,,False,,False
anthony2011,2010/2011,Anthony 2010/2011,True,False,,False,,False,,False,,False
arthur1981,1980/1981,Arthur 1980/1981,False,False,,False,,False,,False,1981-01-14 08:00:00,True
arthur1991,1991/1992,Arthur 1991/1992,False,False,,False,,False,,False,,False
arthur2007,2006/2007,Arthur 2006/2007,True,False,,False,,False,,False,,False
atu1983,1983/1984,Atu 1983/1984,False,False,,False,,False,,False,,False
atu1996,1995/1996,Atu 1995/1996,False,False,,False,,False,,False,,False
atu2011,2010/2011,Atu 2010/2011,True,False,,False,,False,,False,,False
bart1998,1997/1998,Bart 1997/1998,False,False,,False,,False,,False,,False
bart2017,2016/2017,Bart 2016/2017,True,False,,False,,False,,False,,False
bebe1972,1972/1973,Bebe 1972/1973,False,False,,False,,False,,False,1972-10-24 00:00:00,True
becky2007,2006/2007,Becky 2006/2007,True,False,,False,,False,,False,,False
beni2003,2002/2003,Beni 2002/2003,False,False,,False,,False,,False,,False
bernie1982,1981/1982,Bernie 1981/1982,False,False,,False,,False,,False,,False
beth1976,1975/1976,Beth 1975/1976,False,False,,False,,False,,False,,False
beti1984,1983/1984,Beti 1983/1984,False,False,,False,,False,,False,,False
beti1996,1995/1996,Beti 1995/1996,False,False,,False,,False,,False,,False
betsy1981,1980/1981,Betsy 1980/1981,False,False,,False,,False,,False,,False
betsy1992,1991/1992,Betsy 1991/1992,False,False,,False,,False,,False,,False
betty1975,1974/1975,Betty 1974/1975,False,False,,False,,False,,False,,False
bina2021,2020/2021,Bina 2020/2021,False,False,,False,,False,,False,,False
blanch1987,1986/1987,Blanch 1986/1987,False,False,,False,,False,,False,,False
bob1978,1977/1978,Bob 1977/1978,False,False,,False,,False,,False,,False
